"Result","axis","value"
"Loss","SuccAir",0.58695652173913
"Loss","SuccTacles",1
"Win","SuccShots",0.2
"Win","SuccDribbles",0.615384615384615
"Win","SuccPasses",0.837243401759531
"Win","SuccAir",0.452380952380952
"Win","SuccTacles",0.869565217391304
"Win","SuccShots",0.6
"Win","SuccDribbles",0
"Win","SuccPasses",0.829652996845426
"Win","SuccAir",0.678571428571429
"Win","SuccTacles",0.727272727272727
"Win","SuccShots",0.5
"Win","SuccDribbles",0.428571428571429
"Win","SuccPasses",0.783529411764706
"Win","SuccAir",0.578947368421053
"Win","SuccTacles",0.789473684210526
"Win","SuccShots",0.8
"Win","SuccDribbles",1
"Win","SuccPasses",0.76969696969697
"Win","SuccAir",0.563636363636364
"Win","SuccTacles",0.75
"Draw","SuccShots",0
"Draw","SuccDribbles",0.5
"Draw","SuccPasses",0.767584097859327
"Draw","SuccAir",0.509090909090909
"Draw","SuccTacles",0.818181818181818
"Draw","SuccShots",0
"Draw","SuccDribbles",0.6
"Draw","SuccPasses",0.80952380952381
"Draw","SuccAir",0.509090909090909
"Draw","SuccTacles",0.6
"Win","SuccShots",0.5
"Win","SuccDribbles",0.5
"Win","SuccPasses",0.778301886792453
"Win","SuccAir",0.590163934426229
"Win","SuccTacles",0.977272727272727
"Win","SuccShots",0.375
"Win","SuccDribbles",0.666666666666667
"Win","SuccPasses",0.841463414634146
"Win","SuccAir",0.41025641025641
"Win","SuccTacles",0.8
"Win","SuccShots",1
"Win","SuccDribbles",0.25
"Win","SuccPasses",0.788990825688073
"Win","SuccAir",0.578947368421053
"Win","SuccTacles",0.794117647058823
"Draw","SuccShots",0
"Draw","SuccDribbles",0.333333333333333
"Draw","SuccPasses",0.698666666666667
"Draw","SuccAir",0.58
"Draw","SuccTacles",1
"Win","SuccShots",0.6
"Win","SuccDribbles",0.411764705882353
"Win","SuccPasses",0.872268907563025
"Win","SuccAir",0.425
"Win","SuccTacles",0.76
"Loss","SuccShots",0
"Loss","SuccDribbles",0.307692307692308
"Loss","SuccPasses",0.818330605564648
"Loss","SuccAir",0.5
"Loss","SuccTacles",0.888888888888889
"Win","SuccShots",0.111111111111111
"Win","SuccDribbles",0.615384615384615
"Win","SuccPasses",0.826161790017212
"Win","SuccAir",0.596491228070175
"Win","SuccTacles",0.870967741935484
"Draw","SuccShots",0.5
"Draw","SuccDribbles",0.388888888888889
"Draw","SuccPasses",0.768796992481203
"Draw","SuccAir",0.766666666666667
"Draw","SuccTacles",0.631578947368421
"Win","SuccShots",0.4
"Win","SuccDribbles",0.533333333333333
"Win","SuccPasses",0.864963503649635
"Win","SuccAir",0.543478260869565
"Win","SuccTacles",0.842105263157895
"Draw","SuccShots",0.142857142857143
"Draw","SuccDribbles",0.428571428571429
"Draw","SuccPasses",0.872340425531915
"Draw","SuccAir",0.619047619047619
"Draw","SuccTacles",0.5
"Win","SuccShots",0.625
"Win","SuccDribbles",0.384615384615385
"Win","SuccPasses",0.78239608801956
"Win","SuccAir",0.589285714285714
"Win","SuccTacles",0.95
"Win","SuccShots",0.666666666666667
"Win","SuccDribbles",0.6
"Win","SuccPasses",0.78695652173913
"Win","SuccAir",0.534883720930233
"Win","SuccTacles",0.875
"Win","SuccShots",0.666666666666667
"Win","SuccDribbles",0.357142857142857
"Win","SuccPasses",0.686153846153846
"Win","SuccAir",0.525641025641026
"Win","SuccTacles",0.892857142857143
"Win","SuccShots",0.5
"Win","SuccDribbles",0.333333333333333
"Win","SuccPasses",0.781981981981982
"Win","SuccAir",0.36
"Win","SuccTacles",0.85
"Win","SuccShots",1
"Win","SuccDribbles",0.25
"Win","SuccPasses",0.74780701754386
"Win","SuccAir",0.525
"Win","SuccTacles",0.916666666666667
"Draw","SuccShots",0
"Draw","SuccDribbles",0.666666666666667
"Draw","SuccPasses",0.756501182033097
"Draw","SuccAir",0.276595744680851
"Draw","SuccTacles",1
"Draw","SuccShots",0.5
"Draw","SuccDribbles",0.666666666666667
"Draw","SuccPasses",0.74496644295302
"Draw","SuccAir",0.518518518518518
"Draw","SuccTacles",0.916666666666667
"Win","SuccShots",1
"Win","SuccDribbles",0.333333333333333
"Win","SuccPasses",0.748148148148148
"Win","SuccAir",0.451612903225806
"Win","SuccTacles",1
"Draw","SuccShots",0
"Draw","SuccDribbles",0.545454545454545
"Draw","SuccPasses",0.673590504451039
"Draw","SuccAir",0.468085106382979
"Draw","SuccTacles",0.642857142857143
"Loss","SuccShots",0
"Loss","SuccDribbles",0
"Loss","SuccPasses",0.796116504854369
"Loss","SuccAir",0.6
"Loss","SuccTacles",0.846153846153846
"Win","SuccShots",0.666666666666667
"Win","SuccDribbles",0.833333333333333
"Win","SuccPasses",0.698924731182796
"Win","SuccAir",0.447368421052632
"Win","SuccTacles",1
"Win","SuccShots",0.666666666666667
"Win","SuccDribbles",0.4
"Win","SuccPasses",0.76056338028169
"Win","SuccAir",0.40625
"Win","SuccTacles",0.875
"Win","SuccShots",1
"Win","SuccDribbles",0.75
"Win","SuccPasses",0.737777777777778
"Win","SuccAir",0.5
"Win","SuccTacles",0.882352941176471
"Loss","SuccShots",0.25
"Loss","SuccDribbles",0.111111111111111
"Loss","SuccPasses",0.648093841642229
"Loss","SuccAir",0.444444444444444
"Loss","SuccTacles",0.78125
"Loss","SuccShots",0.666666666666667
"Loss","SuccDribbles",1
"Loss","SuccPasses",0.664179104477612
"Loss","SuccAir",0.493827160493827
"Loss","SuccTacles",1
"Win","SuccShots",0.714285714285714
"Win","SuccDribbles",1
"Win","SuccPasses",0.803312629399586
